Production_budget,Worldwide_gross
32000000.00,116898028.00
4000000.00,117085297.00
50000000.00,117211892.00
37000000.00,117378084.00
49000000.00,117419117.00
38000000.00,117425156.00
36000000.00,117448157.00
45000000.00,117615211.00
35000000.00,117729621.00
6000000.00,117796.00
70000000.00,117800000.00
40000000.00,118097882.00
10800000.00,118209778.00
40000000.00,118509836.00
10000000.00,118514727.00
20000000.00,118537627.00
67500000.00,118556530.00
51000000.00,118583844.00
2500000.00,118666.00
50000000.00,118729073.00
13000000.00,118763442.00
50000000.00,119114494.00
50000000.00,119180938.00
106000000.00,119266661.00
25000000.00,119295584.00
6000000.00,119452.00
2600000.00,119500000.00
75000000.00,119512771.00
40000000.00,119627047.00
80000000.00,119668350.00
38000000.00,119721296.00
48000000.00,119736188.00
16000000.00,119739110.00
1500000.00,119841.00
25000000.00,119923801.00
9500000.00,119955.00
3500000.00,12000000.00
21600000.00,12005968.00
30000000.00,12017369.00
7300000.00,12023606.00
28000000.00,12031443.00
12000000.00,12034913.00
3000000.00,12051924.00
60000000.00,12069719.00
10000000.00,12179708.00
7793000.00,12196.00
25000000.00,12219367.00
500000.00,12232.00
5000000.00,12232628.00
4500000.00,12247682.00
35000000.00,12254746.00
15000000.00,12262065.00
2500000.00,12267275.00
23000000.00,12291975.00
2500000.00,12300000.00
4000000.00,12302.00
44000000.00,12342632.00
40000000.00,12345883.00
24000000.00,12372410.00
6500000.00,12376563.00
10000000.00,12382122.00
15000000.00,12394562.00
20000000.00,12397613.00
20000000.00,12398628.00
5500000.00,12399772.00
3300000.00,12405473.00
1500000.00,12412889.00
25000000.00,12413949.00
15000000.00,12419700.00
1900000.00,12444.00
10300000.00,12478635.00
35000000.00,12506188.00
9000000.00,12512317.00
12000000.00,12516222.00
10000000.00,12517379.00
6000000.00,12523097.00
36000000.00,12532777.00
10000000.00,12554569.00
3000000.00,12577401.00
14000000.00,12591270.00
5000000.00,12592907.00
3500000.00,12600000.00
425000.00,12604.00
16000000.00,12617472.00
40000000.00,12624471.00
3400000.00,12636.00
12500000.00,12639854.00
9000000.00,12657377.00
50000000.00,12660287.00
2000000.00,12667.00
15000000.00,12669914.00
7200000.00,12678312.00
8000000.00,12740705.00
6000000.00,12793213.00
3500000.00,12800000.00
15000000.00,12801190.00
23000000.00,12803305.00
4900000.00,12826031.00
14000000.00,12826644.00
4000000.00,12836.00
25000000.00,12850033.00
30000000.00,12885574.00
9000000.00,12898064.00
47000000.00,12900000.00
16000000.00,12900000.00
5000000.00,12905107.00
12000000.00,12905901.00
55000000.00,12923936.00
15250000.00,12930343.00
1000000.00,12931420.00
5000000.00,12947763.00
5000000.00,12961389.00
22000000.00,12967012.00
20000000.00,12967829.00
15000000.00,12970401.00
1000000.00,12996.00
38000000.00,120000000.00
4000000.00,120016.00
90000000.00,120100000.00
15000000.00,120192350.00
10000000.00,120453155.00
40000000.00,120455994.00
25000000.00,120832383.00
5000000.00,121016.00
40000000.00,121032272.00
100000000.00,121100000.00
60000000.00,121327628.00
30000000.00,121413629.00
9000000.00,121661395.00
145000000.00,121671925.00
10700000.00,121706019.00
13000000.00,121778347.00
2000000.00,121807.00
45000000.00,122071435.00
55000000.00,122079192.00
20000000.00,122133227.00
13000000.00,122244329.00
48000000.00,122266018.00
35000000.00,122357172.00
65000000.00,122519874.00
30000000.00,122529966.00
156000000.00,122603824.00
70000000.00,122737201.00
8500000.00,122747755.00
15000000.00,123327692.00
80000000.00,123368842.00
3100000.00,123407.00
14500000.00,123660597.00
12000000.00,123681790.00
25000000.00,123696741.00
13000000.00,123922370.00
70000000.00,123954323.00
48000000.00,124304264.00
60000000.00,124514011.00
60000000.00,124715863.00
40000000.00,124823094.00
40000000.00,124827316.00
3000000.00,124900000.00
100000000.00,124968126.00
5000000.00,125010260.00
50000000.00,125168734.00
10500000.00,125169.00
14000000.00,125212904.00
17000000.00,125250091.00
25000000.00,125339088.00
40000000.00,125729635.00
37500000.00,125818440.00
60000000.00,126037057.00
40000000.00,126069509.00
35000000.00,126204977.00
10000000.00,126247.00
400000.00,126387.00
55000000.00,126425115.00
32000000.00,126539117.00
28000000.00,126549607.00
38000000.00,126577874.00
100000000.00,126704591.00
50200000.00,126931325.00
8000000.00,127188.00
40000000.00,127234389.00
75000000.00,127361412.00
62000000.00,127630030.00
28000000.00,127710550.00
22000000.00,127767889.00
110000000.00,127983283.00
45000000.00,127990741.00
16000000.00,128256712.00
50000000.00,128402901.00
65000000.00,128468793.00
25000000.00,128745578.00
40000000.00,128792135.00
65000000.00,128874043.00
40000000.00,128884494.00
15000000.00,128885873.00
15000000.00,128955898.00
55000000.00,129075270.00
25000000.00,129115.00
11000000.00,129262388.00
1600000.00,129319.00
30000000.00,129779728.00
6000000.00,129795554.00
60000000.00,129832389.00
3000000.00,13000000.00
4000000.00,13000774.00
3500000.00,13007551.00
25000000.00,13008804.00
23000000.00,13019253.00
14000000.00,13024170.00
25000000.00,13038660.00
36000000.00,13052741.00
9000000.00,13061935.00
9000000.00,13075390.00
45000000.00,13086137.00
5000000.00,13099931.00
38000000.00,13119947.00
2000000.00,13129846.00
500000.00,13134.00
6000000.00,13168809.00
27000000.00,13174426.00
3000000.00,13200000.00
18000000.00,13203044.00
14000000.00,13205411.00
35000000.00,13214051.00
60000000.00,13233220.00
15000000.00,13248444.00
40000000.00,13289290.00
15000000.00,13300181.00
25000000.00,13314562.00
15000000.00,13316627.00
11000000.00,13353855.00
20000000.00,13383747.00
18000000.00,13400000.00
4500000.00,13417292.00
25000000.00,13424365.00
17000000.00,13446115.00
3700000.00,13447998.00
15000000.00,13454474.00
1300000.00,13465.00
5500000.00,13480196.00
450000.00,13486.00
40000000.00,13508635.00
7500000.00,13524.00
22000000.00,13555988.00
11000000.00,13558739.00
23000000.00,13593473.00
70000000.00,13596911.00
35000000.00,13601109.00
16500000.00,13636339.00
19000000.00,13680000.00
10000000.00,13684949.00
18500000.00,13711903.00
11000000.00,13719474.00
6000000.00,13722.00
20000000.00,13725032.00
26000000.00,13738574.00
18000000.00,13747234.00
15600000.00,13771817.00
3500000.00,13795053.00
14000000.00,13800000.00
20000000.00,13801755.00
10000000.00,13835130.00
16000000.00,13854000.00
7000000.00,13860078.00
2500000.00,13881317.00
2000000.00,13912289.00
25000000.00,13973532.00
50000000.00,130214162.00
54000000.00,130402010.00
102000000.00,130673154.00
18000000.00,130724541.00
27000000.00,130759651.00
80000000.00,130818912.00
60000000.00,130968579.00
7000000.00,130972437.00
70000000.00,131011757.00
42000000.00,131052444.00
80000000.00,131159306.00
53000000.00,131159781.00
45000000.00,131237688.00
22500000.00,131263370.00
65000000.00,131353165.00
60000000.00,131377412.00
70000000.00,131445884.00
40000000.00,131457147.00
75000000.00,131492772.00
40000000.00,131516178.00
20000000.00,131944672.00
20000000.00,132121212.00
40000000.00,132440066.00
61000000.00,132493015.00
113500000.00,132999811.00
24000000.00,133000000.00
30000000.00,133085295.00
28000000.00,133162752.00
3400000.00,133276359.00
40000000.00,133365452.00
103000000.00,133401882.00
3000000.00,133411.00
63700000.00,133603463.00
17000000.00,133735284.00
109000000.00,133818283.00
30000000.00,133892212.00
30000000.00,133946923.00
52500000.00,134612435.00
2000000.00,134624.00
10000000.00,134639780.00
16500000.00,134993774.00
60000000.00,135015330.00
80000000.00,135432019.00
26000000.00,135436.00
50000000.00,135569212.00
10000000.00,135759694.00
45000000.00,135808837.00
80000000.00,136047317.00
40000000.00,136123083.00
55000000.00,136143605.00
30000000.00,136706683.00
17000000.00,136890774.00
45000000.00,136998907.00
70000000.00,137022245.00
40000000.00,137047376.00
13000000.00,137054597.00
85000000.00,137298489.00
70000000.00,137431619.00
67500000.00,137489730.00
60000000.00,137551594.00
65000000.00,137768975.00
6000000.00,137978395.00
25000000.00,137984788.00
42000000.00,138708527.00
10000.00,138711.00
140000000.00,138836756.00
35000000.00,139000000.00
1500000.00,139084.00
28000000.00,139109346.00
1900000.00,139317.00
40000000.00,139474906.00
175000000.00,139630336.00
14000000.00,139700000.00
100000000.00,139716717.00
53000000.00,139801096.00
65000000.00,139829625.00
90000000.00,139877913.00
20000000.00,139924202.00
170000.00,14000.00
3500000.00,14000000.00
12000000.00,14010363.00
9500000.00,14114000.00
14000000.00,14121177.00
16000000.00,14125516.00
10500000.00,14140402.00
10000000.00,14156753.00
18000000.00,14189810.00
7000000.00,14231669.00
4000000.00,14237880.00
15000000.00,14249005.00
1600000.00,14253760.00
6250000.00,14261269.00
50000000.00,14271297.00
34000000.00,14291999.00
70000000.00,14294842.00
1500000.00,14296709.00
22000000.00,14307223.00
3200000.00,14314407.00
6537890.00,14319195.00
10000000.00,14321070.00
25000000.00,14334401.00
5000000.00,14343976.00
2000000.00,14348020.00
40000000.00,14358033.00
20000000.00,14365639.00
40000000.00,14375181.00
36000000.00,14378353.00
14000000.00,14395874.00
4000000.00,14400000.00
2500000.00,14400000.00
13000000.00,14403703.00
3200000.00,14441158.00
9000000.00,14443.00
40000000.00,14448589.00
35000000.00,14471440.00
18000000.00,14488705.00
26000000.00,14494770.00
17700000.00,14518884.00
1500000.00,14533681.00
17000000.00,14534046.00
6000000.00,14545844.00
16000000.00,14553807.00
20000000.00,14566246.00
1000000.00,14575148.00
20000000.00,14603001.00
12000000.00,14616.00
7000000.00,14618727.00
75000000.00,14623082.00
2300000.00,14628921.00
1000000.00,14662703.00
5600000.00,14683763.00
9100000.00,14709816.00
20000000.00,14772346.00
11000000.00,14786394.00
16000000.00,14792779.00
25000000.00,14805812.00
20000000.00,14807531.00
15000000.00,14811980.00
640000.00,14812.00
60000000.00,14816379.00
60000000.00,14816494.00
16000000.00,14839383.00
5000000.00,14843425.00
3800000.00,14873.00
13000000.00,14929184.00
15000000.00,14933713.00
40000000.00,14938149.00
40000000.00,14942422.00
47000000.00,14970038.00
777000.00,140000000.00
200000.00,140016.00
32000000.00,140428499.00
35000000.00,140783360.00
28000000.00,140886353.00
28000000.00,140894685.00
90000000.00,140900000.00
35000000.00,141123897.00
45000000.00,141189101.00
9000000.00,141200000.00
65000000.00,141205169.00
23000000.00,141247413.00
75000000.00,141267370.00
19000000.00,141344255.00
80000000.00,141475336.00
40000000.00,141484812.00
84000000.00,141507355.00
3000000.00,141600000.00
18000000.00,141809235.00
25000000.00,142033509.00
30000000.00,142051255.00
120000000.00,142531552.00
150000000.00,142634358.00
80000000.00,142783718.00
5000000.00,142817992.00
90000000.00,143049560.00
5000000.00,143273.00
5000000.00,143658.00
8000000.00,143782.00
82500000.00,143985708.00
50000000.00,144110682.00
18000000.00,144529078.00
30000.00,144822.00
40000000.00,145238250.00
1600000.00,145382.00
100000000.00,145395745.00
61000000.00,145594548.00
69000000.00,145951861.00
8000000.00,146083.00
25000000.00,146149.00
50000000.00,146195159.00
40000000.00,146196885.00
4000000.00,146402.00
22000000.00,146590987.00
35000000.00,146595891.00
26000000.00,146850273.00
80000000.00,147080413.00
50000000.00,147142328.00
14500000.00,147542381.00
62000000.00,147924595.00
60000000.00,147985373.00
15000000.00,148095566.00
65000000.00,148345997.00
17500000.00,148586910.00
86000000.00,148715342.00
5000000.00,148806510.00
9000000.00,148826.00
11000000.00,148950631.00
55000000.00,149022650.00
57000000.00,149217355.00
25000000.00,149228078.00
51000000.00,149270999.00
12000000.00,149570720.00
60000000.00,149705852.00
85000000.00,149717124.00
40000000.00,149804632.00
45000000.00,149871103.00
36500000.00,15000000.00
5000000.00,15000000.00
4000000.00,15000000.00
3000000.00,15000000.00
8500000.00,15024232.00
10000000.00,15037867.00
20000000.00,15055091.00
14000000.00,15064948.00
5800000.00,15091.00
19400000.00,15118795.00
10000000.00,15121528.00
5000000.00,15126948.00
15000000.00,15136870.00
6000000.00,15137932.00
250000.00,15155095.00
1000000.00,15156.00
10000000.00,15164492.00
14000000.00,15171475.00
7000000.00,15193977.00
4900000.00,15198.00
10000000.00,15198912.00
150000.00,15200000.00
5000000.00,15220308.00
10000000.00,15297318.00
2600000.00,15298355.00
30000000.00,15313631.00
5000000.00,15318257.00
30000000.00,15358583.00
15000000.00,15364632.00
2000000.00,15396525.00
22000000.00,15434375.00
42000000.00,15451663.00
28500000.00,15452978.00
35000000.00,15461638.00
20000000.00,15466961.00
25000000.00,15468266.00
7000000.00,15471229.00
35000000.00,15471969.00
20000000.00,15473333.00
50000000.00,15505922.00
1700000.00,15517886.00
15000000.00,15554855.00
14000000.00,15565357.00
2700000.00,15600000.00
8000000.00,15644196.00
9000000.00,15660664.00
17000000.00,15680099.00
18000000.00,15696146.00
5500000.00,15700000.00
22000000.00,15716828.00
23000000.00,15728335.00
8000000.00,15752575.00
38000000.00,15779653.00
27500000.00,15815509.00
20000000.00,15824374.00
31000000.00,15826984.00
5500000.00,15867314.00
25000000.00,15907411.00
19000000.00,15911332.00
3000000.00,15935068.00
1000000.00,15943081.00
16000000.00,15980376.00
46000000.00,150000000.00
10000000.00,150191.00
20000000.00,150345863.00
85000000.00,150422946.00
50000000.00,150429371.00
110000000.00,150468000.00
20700000.00,150472713.00
79000000.00,150519217.00
30000000.00,150832086.00
40000000.00,150886329.00
48000000.00,151463090.00
23000000.00,151496097.00
150000000.00,151525973.00
18000000.00,151668774.00
175000000.00,151716815.00
65000000.00,151946972.00
